"Realized Gain/Loss - Lot Details for Designated_Bene_Joint as of Mon Aug 24  11:03:58 EDT 2026 from 01/01/2026 to 08/24/2026","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"AXP","AMERICAN EXPRESS CO","06/01/2026","03/20/2026","40","$313.57","$292.98","$12,542.97","$11,719.20","$823.77","7.029234077411%","","$823.77","Short Term","$11,719.20","No","","06/01/2026","","","","","","",""
"CCL","CARNIVAL CORP LTD","06/01/2026","03/10/2026","500","$27.30","$26.85","$13,652.12","$13,425.00","$227.12","1.691769087523%","","$227.12","Short Term","$13,425.00","No","","06/01/2026","","","","","","",""
"MSFT","MICROSOFT CORP","06/01/2026","03/24/2026","30","$461.39","$376.14","$13,841.85","$11,284.20","$2,557.65","22.665762747913%","","$2,557.65","Short Term","$11,284.20","No","","06/01/2026","","","","","","",""
"TSLL 05/29/2026 14.00 P","PUT DRXNDLYTSLA BUL 2X $14 EXP 05/29/26","05/29/2026","05/14/2026","10","$0.26","$0.00","$263.34","$0.00","$263.34","100%","","$263.34","Short Term","$0.00","No","","05/29/2026","","","","","","",""
"TSLL 05/29/2026 16.00 C","CALL DRXNDLYTSLA BUL 2X $16 EXP 05/29/26","05/29/2026","05/14/2026","10","$1.66","$0.00","$1,663.32","$0.00","$1,663.32","100%","","$1,663.32","Short Term","$0.00","No","","05/29/2026","","","","","","",""
"AAL","AMERICAN AIRLS GROUP","05/27/2026","03/09/2026","1,000","$14.99","$11.32","$14,994.49","$11,315.50","$3,678.99","32.512836374884%","","$3,678.99","Short Term","$11,315.50","No","","05/27/2026","","","","","","",""
"AAL","AMERICAN AIRLS GROUP","05/27/2026","03/20/2026","1,000","$15.02","$10.26","$15,024.49","$10,256.65","$4,767.84","46.485353404864%","","$4,767.84","Short Term","$10,256.65","No","","05/27/2026","","","","","","",""
"TSLA 05/22/2026 495.00 C","CALL TESLA INC $495 EXP 05/22/26","05/18/2026","05/18/2026","1","$2.03","$0.49","$203.34","$48.66","$154.68","76.06963706108%","","$154.68","Short Term","$48.66","No","","05/15/2026","","","","","","",""
"TSLL 05/15/2026 15.00 C","CALL DRXNDLYTSLA BUL 2X $15 EXP 05/15/26","05/15/2026","05/15/2026","10","$0.34","$1.93","$343.34","$1,926.62","-$1,583.28","-461.140560377468%","","-$1,583.28","Short Term","$1,926.62","No","","05/14/2026","","","","","","",""
"NVDA","NVIDIA CORP","05/13/2026","03/27/2026","70","$227.06","$168.81","$15,894.21","$11,817.05","$4,077.16","34.502350417405%","","$4,077.16","Short Term","$11,817.05","No","","05/13/2026","","","","","","",""
"GOOG","ALPHABET INC CLASS C","05/07/2026","03/27/2026","50","$399.17","$278.26","$19,958.33","$13,913.00","$6,045.33","43.450945159204%","","$6,045.33","Short Term","$13,913.00","No","","05/07/2026","","","","","","",""
"AAL 04/24/2026 13.00 C","CALL AMERICAN AIRLS GROUP INC $13 EXP 04/24/26","04/24/2026","04/08/2026","20","$0.20","$0.00","$406.68","$0.00","$406.68","100%","","$406.68","Short Term","$0.00","No","","04/24/2026","","","","","","",""
"CCL 04/24/2026 30.00 C","CALL CARNIVAL CORP $30 EXP 04/24/26","04/24/2026","04/08/2026","5","$0.33","$0.00","$166.67","$0.00","$166.67","100%","","$166.67","Short Term","$0.00","No","","04/24/2026","","","","","","",""
"ORCL","ORACLE CORP","04/13/2026","03/10/2026","100","$150.28","$151.79","$15,027.67","$15,178.99","-$151.32","-0.996904273605%","","-$151.32","Short Term","$15,178.99","No","","04/13/2026","","","","","","",""
"CCL 03/27/2026 22.50 P","PUT CARNIVAL CORP $22.5 EXP 03/27/26","03/27/2026","03/13/2026","5","$0.81","$0.00","$406.67","$0.00","$406.67","100%","","$406.67","Short Term","$0.00","No","","03/27/2026","","","","","","",""
"CCL 03/27/2026 28.00 C","CALL CARNIVAL CORP $28 EXP 03/27/26","03/27/2026","03/11/2026","5","$0.73","$0.00","$366.67","$0.00","$366.67","100%","","$366.67","Short Term","$0.00","No","","03/27/2026","","","","","","",""
"AAL 03/20/2026 12.50 C","CALL AMERICAN AIRLS GROUP INC $12.5 EXP 03/20/26","03/23/2026","03/23/2026","10","$0.16","$0.01","$163.35","$10.12","$153.23","93.804713804714%","","$153.23","Short Term","$10.12","No","","03/20/2026","","","","","","",""
"ORCL 03/27/2026 180.00 C","CALL ORACLE CORP $180 EXP 03/27/26","03/23/2026","03/23/2026","1","$2.22","$0.10","$222.34","$9.66","$212.68","95.655302689575%","","$212.68","Short Term","$9.66","No","","03/20/2026","","","","","","",""
"ORCL 03/27/2026 180.00 C","CALL ORACLE CORP $180 EXP 03/27/26","03/11/2026","03/11/2026","1","$2.21","$2.27","$221.34","$226.66","-$5.32","-2.347127856702%","","-$5.32","Short Term","$226.66","No","","03/11/2026","","","","","","",""
"UNH","UNITEDHEALTH GROUP I","01/26/2026","09/02/2025","200","$351.55","$310.22","$70,309.96","$62,044.84","$8,265.12","13.321204470831%","","$8,265.12","Short Term","$62,044.84","No","","01/26/2026","","","","","","",""
"UNH","UNITEDHEALTH GROUP I","01/26/2026","08/29/2025","100","$351.55","$302.54","$35,154.98","$30,254.00","$4,900.98","16.199444701527%","","$4,900.98","Short Term","$30,254.00","No","","01/26/2026","","","","","","",""
"UNH","UNITEDHEALTH GROUP I","01/26/2026","08/29/2025","100","$351.55","$305.71","$35,154.98","$30,571.00","$4,583.98","14.994537306598%","","$4,583.98","Short Term","$30,571.00","No","","01/26/2026","","","","","","",""
"UNH 01/23/2026 380.00 C","CALL UNITEDHEALTH GROUP INC $380 EXP 01/23/26","01/23/2026","01/06/2026","4","$1.20","$0.00","$481.35","$0.00","$481.35","100%","","$481.35","Short Term","$0.00","No","","01/23/2026","","","","","","",""
