"Realized Gain/Loss - Lot Details for Designated_Bene_Individual as of Mon Aug 24  11:04:26 EDT 2026 from 01/01/2026 to 08/24/2026","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"GOOG 08/07/2026 290.00 P","PUT ALPHABET INC $290 EXP 08/07/26","08/03/2026","08/03/2026","1","$1.29","$0.05","$129.34","$5.01","$124.33","96.126488325344%","","$124.33","Short Term","$5.01","No","","07/31/2026","","","","","","",""
"MSTR 07/31/2026 90.00 P","PUT STRATEGY INC $90 EXP 07/31/26","08/03/2026","08/03/2026","1","$7.78","$0.01","$778.32","$1.01","$777.31","99.870233323055%","","$777.31","Short Term","$1.01","No","","07/31/2026","","","","","","",""
"MSTR 07/31/2026 120.00 P","PUT STRATEGY INC $120 EXP 07/31/26","07/31/2026","07/31/2026","1","$27.06","$24.04","$2,706.28","$2,403.66","$302.62","11.182139320396%","","$302.62","Short Term","$2,403.66","No","","07/30/2026","","","","","","",""
"MSTR 07/24/2026 120.00 P","PUT STRATEGY INC $120 EXP 07/24/26","07/24/2026","07/24/2026","1","$26.07","$27.01","$2,607.29","$2,700.66","-$93.37","-3.581112956365%","","-$93.37","Short Term","$2,700.66","No","","07/23/2026","","","","","","",""
"MSTR 07/17/2026 120.00 P","PUT STRATEGY INC $120 EXP 07/17/26","07/17/2026","07/17/2026","1","$17.34","$25.92","$1,734.30","$2,591.66","-$857.36","-49.435507121029%","","-$857.36","Short Term","$2,591.66","No","","07/16/2026","","","","","","",""
"AMZN 07/17/2026 215.00 P","PUT AMAZON.COM INC $215 EXP 07/17/26","07/13/2026","07/13/2026","1","$2.02","$0.11","$202.34","$10.66","$191.68","94.731639814174%","","$191.68","Short Term","$10.66","No","","07/10/2026","","","","","","",""
"MSFT 07/17/2026 330.00 P","PUT MICROSOFT CORP $330 EXP 07/17/26","07/13/2026","07/13/2026","1","$1.34","$0.07","$134.34","$6.66","$127.68","95.042429656096%","","$127.68","Short Term","$6.66","No","","07/10/2026","","","","","","",""
"GOOG 07/17/2026 310.00 P","PUT ALPHABET INC $310 EXP 07/17/26","07/08/2026","07/08/2026","1","$1.86","$0.14","$186.34","$13.66","$172.68","92.669314156917%","","$172.68","Short Term","$13.66","No","","07/07/2026","","","","","","",""
"MSTR 07/17/2026 95.00 P","PUT STRATEGY INC $95 EXP 07/17/26","07/02/2026","07/02/2026","1","$4.01","$7.64","$401.33","$763.66","-$362.33","-90.282311314878%","","-$362.33","Short Term","$763.66","No","","07/01/2026","","","","","","",""
"TSLA","TESLA INC","07/02/2026","06/24/2026","100","$395.24","$368.00","$39,524.17","$36,799.68","$2,724.49","7.403569813651%","","$2,724.49","Short Term","$36,799.68","No","","07/02/2026","","","","","","",""
"GLW 07/02/2026 155.00 P","PUT CORNING INC $155 EXP 07/02/26","06/30/2026","06/30/2026","1","$2.58","$0.05","$258.33","$5.01","$253.32","98.060620137034%","","$253.32","Short Term","$5.01","No","","06/29/2026","","","","","","",""
"CDE 06/26/2026 15.00 P","PUT COEUR MNG INC $15 EXP 06/26/26","06/26/2026","06/02/2026","10","$0.16","$0.00","$163.35","$0.00","$163.35","100%","","$163.35","Short Term","$0.00","No","","06/26/2026","","","","","","",""
"CRDO 06/26/2026 157.50 P","PUT CREDO TECHNOLOGY GROUP HLDG LTD $157.5 EXP 06/26/26","06/24/2026","06/24/2026","1","$2.79","$0.09","$279.33","$8.66","$270.67","96.899724340386%","","$270.67","Short Term","$8.66","No","","06/23/2026","","","","","","",""
"MSTR 07/02/2026 128.00 P","PUT STRATEGY INC $128 EXP 07/02/26","06/24/2026","06/24/2026","1","$11.52","$22.31","$1,152.32","$2,230.66","-$1,078.34","-93.579908358789%","","-$1,078.34","Short Term","$2,230.66","No","","06/23/2026","","","","","","",""
"VRT 06/26/2026 270.00 P","PUT VERTIV HLDGS CO $270 EXP 06/26/26","06/24/2026","06/24/2026","1","$3.14","$0.34","$314.33","$33.66","$280.67","89.291508923743%","","$280.67","Short Term","$33.66","No","","06/23/2026","","","","","","",""
"COST 06/18/2026 880.00 P","PUT COSTCO WHSL CORP NEW $880 EXP 06/18/26","06/17/2026","06/17/2026","1","$2.22","$0.29","$222.34","$28.66","$193.68","87.109831789152%","","$193.68","Short Term","$28.66","No","","06/16/2026","","","","","","",""
"GOOG 06/18/2026 330.00 P","PUT ALPHABET INC $330 EXP 06/18/26","06/17/2026","06/17/2026","1","$1.48","$0.07","$148.34","$6.66","$141.68","95.510314143185%","","$141.68","Short Term","$6.66","No","","06/16/2026","","","","","","",""
"AAL 06/12/2026 11.50 P","PUT AMERICAN AIRLS GROUP INC $11.5 EXP 06/12/26","06/12/2026","05/14/2026","10","$0.23","$0.00","$233.35","$0.00","$233.35","100%","","$233.35","Short Term","$0.00","No","","06/12/2026","","","","","","",""
"HD 06/12/2026 275.00 P","PUT HOME DEPOT INC $275 EXP 06/12/26","06/12/2026","05/14/2026","1","$2.50","$0.00","$250.33","$0.00","$250.33","100%","","$250.33","Short Term","$0.00","No","","06/12/2026","","","","","","",""
"TSLA 06/12/2026 392.50 P","PUT TESLA INC $392.5 EXP 06/12/26","06/11/2026","06/11/2026","1","$3.54","$11.77","$354.33","$1,176.66","-$822.33","-232.080264160528%","","-$822.33","Short Term","$1,176.66","No","","06/10/2026","","","","","","",""
"MSTR 06/12/2026 135.00 P","PUT STRATEGY INC $135 EXP 06/12/26","06/10/2026","06/10/2026","1","$1.43","$11.84","$143.34","$1,183.66","-$1,040.32","-725.770894377006%","","-$1,040.32","Short Term","$1,183.66","No","","06/09/2026","","","","","","",""
"SLV 06/17/2026 64.50 P","PUT ISHR SILVER TR $64.5 EXP 06/17/26","06/10/2026","06/10/2026","2","$1.33","$3.32","$266.66","$663.32","-$396.66","-148.75121878047%","","-$396.66","Short Term","$663.32","No","","06/09/2026","","","","","","",""
"GLW 12/17/2027 170.00 C","CALL CORNING INC $170 EXP 12/17/27","06/08/2026","06/05/2026","1","$77.99","$70.86","$7,799.18","$7,085.66","$713.52","10.069915858226%","","$713.52","Short Term","$7,085.66","No","","06/08/2026","","","","","","",""
"SLV 06/05/2026 67.00 P","PUT ISHR SILVER TR $67 EXP 06/05/26","06/04/2026","06/04/2026","2","$1.76","$1.31","$352.66","$261.32","$91.34","25.90030057279%","","$91.34","Short Term","$261.32","No","","06/03/2026","","","","","","",""
"SLV 05/27/2026 69.00 P","PUT ISHR SILVER TR $69 EXP 05/27/26","05/28/2026","05/28/2026","2","$1.82","$1.59","$364.66","$317.32","$47.34","12.981955794439%","","$47.34","Short Term","$317.32","No","","05/27/2026","","","","","","",""
"ORCL","ORACLE CORP","05/27/2026","12/17/2025","100","$188.71","$179.51","$18,870.59","$17,951.33","$919.26","5.12084619914%","","$919.26","Short Term","$17,951.33","No","","05/27/2026","","","","","","",""
"ORCL 05/22/2026 139.00 P","PUT ORACLE CORP $139 EXP 05/22/26","05/22/2026","04/28/2026","1","$1.30","$0.00","$130.34","$0.00","$130.34","100%","","$130.34","Short Term","$0.00","No","","05/22/2026","","","","","","",""
"WFC 05/22/2026 73.00 P","PUT WELLS FARGO & CO $73 EXP 05/22/26","05/22/2026","05/14/2026","1","$0.93","$0.00","$93.34","$0.00","$93.34","100%","","$93.34","Short Term","$0.00","No","","05/22/2026","","","","","","",""
"SLV 05/22/2026 70.00 P","PUT ISHR SILVER TR $70 EXP 05/22/26","05/21/2026","05/21/2026","2","$0.49","$1.82","$98.67","$363.32","-$264.65","-268.21728995642%","","-$264.65","Short Term","$363.32","No","","05/20/2026","","","","","","",""
"AAL 05/22/2026 10.00 P","PUT AMERICAN AIRLS GROUP INC $10 EXP 05/22/26","05/15/2026","05/15/2026","10","$0.12","$0.01","$123.35","$10.12","$113.23","91.79570328334%","","$113.23","Short Term","$10.12","No","","05/14/2026","","","","","","",""
"GE 05/15/2026 240.00 P","PUT GE AEROSPACE $240 EXP 05/15/26","05/15/2026","04/23/2026","1","$1.08","$0.00","$108.34","$0.00","$108.34","100%","","$108.34","Short Term","$0.00","No","","05/15/2026","","","","","","",""
"NFLX 05/15/2026 85.00 P","PUT NETFLIX INC $85 EXP 05/15/26","05/15/2026","04/23/2026","3","$0.44","$0.00","$133.00","$0.00","$133.00","100%","","$133.00","Short Term","$0.00","No","","05/15/2026","","","","","","",""
"SLV 05/15/2026 58.00 P","PUT ISHR SILVER TR $58 EXP 05/15/26","05/15/2026","05/15/2026","1","$0.42","$0.01","$42.34","$1.01","$41.33","97.614548889939%","","$41.33","Short Term","$1.01","No","","05/14/2026","","","","","","",""
"UPS 05/15/2026 95.00 P","PUT UNITED PARCEL SVC INC $95 EXP 05/15/26","05/15/2026","04/28/2026","2","$0.50","$0.00","$100.67","$0.00","$100.67","100%","","$100.67","Short Term","$0.00","No","","05/15/2026","","","","","","",""
"WFC 05/15/2026 74.00 P","PUT WELLS FARGO & CO $74 EXP 05/15/26","05/15/2026","05/15/2026","1","$0.56","$0.64","$56.34","$63.66","-$7.32","-12.992545260916%","","-$7.32","Short Term","$63.66","No","","05/14/2026","","","","","","",""
"MSFT 05/08/2026 360.00 P","PUT MICROSOFT CORP $360 EXP 05/08/26","05/08/2026","04/24/2026","1","$1.21","$0.00","$121.34","$0.00","$121.34","100%","","$121.34","Short Term","$0.00","No","","05/08/2026","","","","","","",""
"NOW 05/08/2026 70.00 P","PUT SERVICENOW INC $70 EXP 05/08/26","05/08/2026","04/23/2026","4","$0.31","$0.00","$125.34","$0.00","$125.34","100%","","$125.34","Short Term","$0.00","No","","05/08/2026","","","","","","",""
"PLTR 05/08/2026 114.00 P","PUT PALANTIR TECHNOLOGIES INC $114 EXP 05/08/26","05/08/2026","04/24/2026","1","$1.00","$0.00","$100.34","$0.00","$100.34","100%","","$100.34","Short Term","$0.00","No","","05/08/2026","","","","","","",""
"TSLA 05/08/2026 320.00 P","PUT TESLA INC $320 EXP 05/08/26","05/08/2026","04/23/2026","1","$1.04","$0.00","$104.34","$0.00","$104.34","100%","","$104.34","Short Term","$0.00","No","","05/08/2026","","","","","","",""
"TSLL 05/08/2026 12.00 P","PUT DRXNDLYTSLA BUL 2X $12 EXP 05/08/26","05/08/2026","04/08/2026","10","$2.03","$0.00","$2,033.31","$0.00","$2,033.31","100%","","$2,033.31","Short Term","$0.00","No","","05/08/2026","","","","","","",""
"ORCL","ORACLE CORP","05/06/2026","12/11/2025","100","$190.00","$195.09","$18,999.59","$19,509.00","-$509.41","-2.611153826439%","","-$509.41","Short Term","$19,509.00","No","","05/06/2026","","","","","","",""
"TSLA 05/01/2026 335.00 P","PUT TESLA INC $335 EXP 05/01/26","05/01/2026","04/20/2026","1","$1.09","$0.00","$109.34","$0.00","$109.34","100%","","$109.34","Short Term","$0.00","No","","05/01/2026","","","","","","",""
"SPY 04/29/2026 711.00 P","PUT STATE STREET SPDR S&P 500 ETF TRUST $711 EXP 04/29/26","04/29/2026","04/29/2026","8","$2.18","$2.00","$1,746.63","$1,597.30","$149.33","9.348901270895%","","$149.33","Short Term","$1,597.30","No","","04/29/2026","","","","","","",""
"SPY 04/29/2026 711.00 P","PUT STATE STREET SPDR S&P 500 ETF TRUST $711 EXP 04/29/26","04/29/2026","04/29/2026","2","$2.22","$2.00","$444.66","$399.32","$45.34","11.354302313934%","","$45.34","Short Term","$399.32","No","","04/29/2026","","","","","","",""
"SPY 04/29/2026 711.00 P","PUT STATE STREET SPDR S&P 500 ETF TRUST $711 EXP 04/29/26","04/29/2026","04/29/2026","2","$2.21","$2.18","$442.66","$435.32","$7.34","1.686115960673%","","$7.34","Short Term","$435.32","No","","04/29/2026","","","","","","",""
"SPY 04/29/2026 711.00 P","PUT STATE STREET SPDR S&P 500 ETF TRUST $711 EXP 04/29/26","04/29/2026","04/29/2026","8","$2.19","$2.18","$1,754.63","$1,741.30","$13.33","0.765520013783%","","$13.33","Short Term","$1,741.30","No","","04/29/2026","","","","","","",""
"SPY 04/24/2026 710.00 P","PUT STATE STREET SPDR S&P 500 ETF TRUST $710 EXP 04/24/26","04/24/2026","04/24/2026","7","$1.61","$1.48","$1,129.33","$1,033.63","$95.70","9.258632199143%","","$95.70","Short Term","$1,033.63","No","","04/24/2026","","","","","","",""
"SPY 04/24/2026 710.00 P","PUT STATE STREET SPDR S&P 500 ETF TRUST $710 EXP 04/24/26","04/24/2026","04/24/2026","3","$1.69","$1.48","$507.99","$442.99","$65.00","14.673017449604%","","$65.00","Short Term","$442.99","No","","04/24/2026","","","","","","",""
"SPY 04/24/2026 710.00 P","PUT STATE STREET SPDR S&P 500 ETF TRUST $710 EXP 04/24/26","04/24/2026","04/24/2026","5","$1.62","$1.49","$811.65","$743.31","$68.34","9.194010574323%","","$68.34","Short Term","$743.31","No","","04/24/2026","","","","","","",""
"SPY 04/24/2026 710.00 P","PUT STATE STREET SPDR S&P 500 ETF TRUST $710 EXP 04/24/26","04/24/2026","04/24/2026","5","$1.63","$1.49","$816.65","$743.31","$73.34","9.866677429336%","","$73.34","Short Term","$743.31","No","","04/24/2026","","","","","","",""
"TSLL 04/24/2026 10.50 P","PUT DRXNDLYTSLA BUL 2X $10.5 EXP 04/24/26","04/24/2026","04/24/2026","10","$0.87","$0.02","$873.33","$20.12","$853.21","97.696174412879%","","$853.21","Short Term","$20.12","No","","04/23/2026","","","","","","",""
"SLV 04/10/2026 61.00 P","PUT ISHR SILVER TR $61 EXP 04/10/26","04/10/2026","04/10/2026","1","$0.83","$0.04","$83.34","$4.01","$79.33","95.188384929206%","","$79.33","Short Term","$4.01","No","","04/09/2026","","","","","","",""
"SLV 04/17/2026 55.00 P","PUT ISHR SILVER TR $55 EXP 04/17/26","04/10/2026","04/10/2026","1","$0.77","$0.15","$77.34","$14.66","$62.68","81.044737522627%","","$62.68","Short Term","$14.66","No","","04/09/2026","","","","","","",""
"TSLL 04/10/2026 11.00 P","PUT DRXNDLYTSLA BUL 2X $11 EXP 04/10/26","04/10/2026","04/10/2026","10","$0.39","$0.67","$393.35","$666.62","-$273.27","-69.472479979662%","","-$273.27","Short Term","$666.62","No","","04/09/2026","","","","","","",""
"BRKB 04/10/2026 450.00 P","PUT BERKSHIRE HATHAWAY $450 EXP 04/10/26","04/09/2026","04/09/2026","1","$1.65","$0.23","$165.34","$22.66","$142.68","86.294907463409%","","$142.68","Short Term","$22.66","No","","04/08/2026","","","","","","",""
"META 04/10/2026 500.00 P","PUT META PLATFORMS INC $500 EXP 04/10/26","04/09/2026","04/09/2026","1","$1.88","$0.03","$188.34","$3.01","$185.33","98.401826484018%","","$185.33","Short Term","$3.01","No","","04/08/2026","","","","","","",""
"ORCL 04/10/2026 130.00 P","PUT ORACLE CORP $130 EXP 04/10/26","04/09/2026","04/09/2026","1","$1.62","$0.08","$162.34","$7.66","$154.68","95.281507946286%","","$154.68","Short Term","$7.66","No","","04/08/2026","","","","","","",""
"ORCL 04/17/2026 120.00 P","PUT ORACLE CORP $120 EXP 04/17/26","04/09/2026","04/09/2026","1","$1.13","$0.14","$113.34","$13.66","$99.68","87.947767778366%","","$99.68","Short Term","$13.66","No","","04/08/2026","","","","","","",""
"TSLL 04/10/2026 12.50 P","PUT DRXNDLYTSLA BUL 2X $12.5 EXP 04/10/26","04/09/2026","04/09/2026","10","$1.32","$2.07","$1,323.35","$2,066.62","-$743.27","-56.165791362829%","","-$743.27","Short Term","$2,066.62","No","","04/08/2026","","","","","","",""
"UNH 04/10/2026 240.00 P","PUT UNITEDHEALTH GROUP INC $240 EXP 04/10/26","04/08/2026","04/08/2026","1","$1.92","$0.03","$192.34","$3.01","$189.33","98.435062909431%","","$189.33","Short Term","$3.01","No","","04/07/2026","","","","","","",""
"TSLL 04/02/2026 13.00 P","PUT DRXNDLYTSLA BUL 2X $13 EXP 04/02/26","04/06/2026","04/06/2026","9","$1.25","$1.75","$1,123.01","$1,571.96","-$448.95","-39.977382213872%","","-$448.95","Short Term","$1,571.96","No","","04/02/2026","","","","","","",""
"TSLL 04/02/2026 13.00 P","PUT DRXNDLYTSLA BUL 2X $13 EXP 04/02/26","04/06/2026","04/06/2026","1","$1.20","$1.75","$120.34","$174.66","-$54.32","-45.138773475154%","","-$54.32","Short Term","$174.66","No","","04/02/2026","","","","","","",""
"MSFT 04/02/2026 345.00 P","PUT MICROSOFT CORP $345 EXP 04/02/26","04/02/2026","03/05/2026","1","$0.99","$0.00","$99.34","$0.00","$99.34","100%","","$99.34","Short Term","$0.00","No","","04/02/2026","","","","","","",""
"AMZN 04/10/2026 175.00 P","PUT AMAZON.COM INC $175 EXP 04/10/26","03/30/2026","03/30/2026","1","$1.02","$0.48","$102.34","$47.66","$54.68","53.42974399062%","","$54.68","Short Term","$47.66","No","","03/27/2026","","","","","","",""
"JPM 04/10/2026 255.00 P","PUT JPMORGAN CHASE & CO $255 EXP 04/10/26","03/30/2026","03/30/2026","1","$2.60","$1.17","$260.34","$116.66","$143.68","55.189367749866%","","$143.68","Short Term","$116.66","No","","03/27/2026","","","","","","",""
"TSLA 03/27/2026 320.00 P","PUT TESLA INC $320 EXP 03/27/26","03/30/2026","03/30/2026","1","$0.98","$0.01","$98.34","$1.01","$97.33","98.972950986374%","","$97.33","Short Term","$1.01","No","","03/27/2026","","","","","","",""
"TSLA 04/02/2026 310.00 P","PUT TESLA INC $310 EXP 04/02/26","03/30/2026","03/30/2026","1","$1.03","$0.34","$103.34","$33.66","$69.68","67.427907876911%","","$69.68","Short Term","$33.66","No","","03/27/2026","","","","","","",""
"NVDA 03/27/2026 162.50 P","PUT NVIDIA CORP $162.5 EXP 03/27/26","03/26/2026","03/26/2026","1","$1.53","$0.05","$153.34","$5.01","$148.33","96.732750749967%","","$148.33","Short Term","$5.01","No","","03/25/2026","","","","","","",""
"WFC 03/27/2026 67.00 P","PUT WELLS FARGO & CO $67 EXP 03/27/26","03/25/2026","03/25/2026","3","$0.40","$0.04","$121.00","$12.04","$108.96","90.049586776859%","","$108.96","Short Term","$12.04","No","","03/24/2026","","","","","","",""
"MSTR 03/27/2026 100.00 P","PUT STRATEGY INC $100 EXP 03/27/26","03/24/2026","03/24/2026","1","$0.90","$0.08","$90.34","$7.66","$82.68","91.520920965242%","","$82.68","Short Term","$7.66","No","","03/23/2026","","","","","","",""
"TSLL 03/20/2026 13.50 P","PUT DRXNDLYTSLA BUL 2X $13.5 EXP 03/20/26","03/23/2026","03/23/2026","10","$0.49","$1.20","$493.35","$1,196.62","-$703.27","-142.549913854262%","","-$703.27","Short Term","$1,196.62","No","","03/20/2026","","","","","","",""
"MSFT 03/20/2026 500.00 C","CALL MICROSOFT CORP $500 EXP 03/20/26","03/20/2026","12/18/2025","1","$0.00","$19.86","$0.00","$1,985.66","-$1,985.66","-100%","","-$1,985.66","Short Term","$1,985.66","No","","03/20/2026","","","","","","",""
"MSFT 03/20/2026 500.00 C","CALL MICROSOFT CORP $500 EXP 03/20/26","03/20/2026","12/18/2025","1","$0.00","$19.89","$0.00","$1,988.66","-$1,988.66","-100%","","-$1,988.66","Short Term","$1,988.66","No","","03/20/2026","","","","","","",""
"MSFT 03/20/2026 510.00 C","CALL MICROSOFT CORP $510 EXP 03/20/26","03/20/2026","12/18/2025","1","$15.79","$0.00","$1,579.34","$0.00","$1,579.34","100%","","$1,579.34","Short Term","$0.00","No","","03/20/2026","","","","","","",""
"MSFT 03/20/2026 510.00 C","CALL MICROSOFT CORP $510 EXP 03/20/26","03/20/2026","12/18/2025","1","$15.82","$0.00","$1,582.34","$0.00","$1,582.34","100%","","$1,582.34","Short Term","$0.00","No","","03/20/2026","","","","","","",""
"NVDA 03/20/2026 190.00 C","CALL NVIDIA CORP $190 EXP 03/20/26","03/20/2026","12/22/2025","4","$0.00","$12.89","$0.00","$5,154.64","-$5,154.64","-100%","","-$5,154.64","Short Term","$5,154.64","No","","03/20/2026","","","","","","",""
"NVDA 03/20/2026 200.00 C","CALL NVIDIA CORP $200 EXP 03/20/26","03/20/2026","12/22/2025","4","$9.04","$0.00","$3,617.35","$0.00","$3,617.35","100%","","$3,617.35","Short Term","$0.00","No","","03/20/2026","","","","","","",""
"TSLA 03/20/2026 500.00 C","CALL TESLA INC $500 EXP 03/20/26","03/20/2026","12/29/2025","3","$0.00","$32.63","$0.00","$9,787.98","-$9,787.98","-100%","","-$9,787.98","Short Term","$9,787.98","No","","03/20/2026","","","","","","",""
"TSLA 03/20/2026 510.00 C","CALL TESLA INC $510 EXP 03/20/26","03/20/2026","12/29/2025","3","$29.36","$0.00","$8,809.01","$0.00","$8,809.01","100%","","$8,809.01","Short Term","$0.00","No","","03/20/2026","","","","","","",""
"INTU 03/13/2026 500.00 C","CALL INTUIT $500 EXP 03/13/26","03/16/2026","03/16/2026","1","$2.02","$0.26","$202.34","$25.66","$176.68","87.318375012355%","","$176.68","Short Term","$25.66","No","","03/13/2026","","","","","","",""
"TSLL 03/13/2026 14.00 P","PUT DRXNDLYTSLA BUL 2X $14 EXP 03/13/26","03/16/2026","03/16/2026","10","$0.42","$0.21","$423.35","$206.62","$216.73","51.194047478446%","","$216.73","Short Term","$206.62","No","","03/13/2026","","","","","","",""
"INTU 03/06/2026 410.00 P","PUT INTUIT $410 EXP 03/06/26","03/06/2026","02/03/2026","1","$20.29","$0.00","$2,029.34","$0.00","$2,029.34","100%","","$2,029.34","Short Term","$0.00","No","","03/06/2026","","","","","","",""
"ORCL 03/06/2026 145.00 P","PUT ORACLE CORP $145 EXP 03/06/26","03/06/2026","02/04/2026","1","$8.19","$0.00","$819.34","$0.00","$819.34","100%","","$819.34","Short Term","$0.00","No","","03/06/2026","","","","","","",""
"COIN 03/06/2026 180.00 P","PUT COINBASE GLOBAL INC $180 EXP 03/06/26","03/05/2026","03/05/2026","1","$18.88","$0.32","$1,888.34","$31.66","$1,856.68","98.323395151297%","","$1,856.68","Short Term","$31.66","No","","03/04/2026","","","","","","",""
"NFLX","NETFLIX INC","03/04/2026","12/11/2025","100","$98.55","$94.54","$9,855.48","$9,453.52","$401.96","4.25196117425%","","$401.96","Short Term","$9,453.52","No","","03/04/2026","","","","","","",""
"NFLX","NETFLIX INC","03/04/2026","12/10/2025","50","$98.55","$93.25","$4,927.74","$4,662.29","$265.45","5.693554026026%","","$265.45","Short Term","$4,662.29","No","","03/04/2026","","","","","","",""
"NFLX","NETFLIX INC","03/04/2026","12/10/2025","50","$98.55","$93.27","$4,927.74","$4,663.32","$264.42","5.670209207174%","","$264.42","Short Term","$4,663.32","No","","03/04/2026","","","","","","",""
"COIN 03/06/2026 150.00 P","PUT COINBASE GLOBAL INC $150 EXP 03/06/26","03/03/2026","03/03/2026","1","$5.53","$0.24","$553.34","$23.66","$529.68","95.724147901832%","","$529.68","Short Term","$23.66","No","","03/02/2026","","","","","","",""
"QCOM 02/27/2026 141.00 P","PUT QUALCOMM INC $141 EXP 02/27/26","02/27/2026","02/27/2026","1","$4.44","$0.14","$444.34","$13.66","$430.68","96.925777557726%","","$430.68","Short Term","$13.66","No","","02/26/2026","","","","","","",""
"QCOM 02/27/2026 149.00 C","CALL QUALCOMM INC $149 EXP 02/27/26","02/27/2026","02/27/2026","1","$0.92","$0.16","$92.34","$15.66","$76.68","83.040935672515%","","$76.68","Short Term","$15.66","No","","02/26/2026","","","","","","",""
"SPXW 03/20/2026 6950.00 C","CALL S & P 500 INDEX $6950 EXP 03/20/26","02/27/2026","02/27/2026","2","$135.82","$81.83","$27,163.56","$16,366.44","$10,797.12","39.748545477839%","","$10,797.12","Short Term","$16,366.44","No","","02/26/2026","","","","","","",""
"SPXW 03/20/2026 6900.00 C","CALL S & P 500 INDEX $6900 EXP 03/20/26","02/26/2026","12/18/2025","1","$113.05","$161.84","$11,304.78","$16,184.22","-$4,879.44","-30.149367717443%","","-$4,879.44","Short Term","$16,184.22","No","","02/26/2026","","","","","","",""
"SPXW 03/20/2026 7000.00 C","CALL S & P 500 INDEX $7000 EXP 03/20/26","02/26/2026","12/18/2025","1","$54.87","$112.54","$5,486.78","$11,254.22","-$5,767.44","-51.246910047964%","","-$5,767.44","Short Term","$11,254.22","No","","02/26/2026","","","","","","",""
